"tabel_name","tabel_komoditas","tabel_periode1","tabel_periode2","tabel_periode3","tabel_periode4","tabel_periode5","tabel_periode6"
"I","Beras","11.800","11.800","11.800","11.800","11.800","11.800"
"1","Beras Kualitas Bawah I (kg)","10.750","10.750","10.750","10.750","10.750","10.750"
"2","Beras Kualitas Bawah II (kg)","10.400","10.350","10.400","10.400","10.400","10.400"
"3","Beras Kualitas Medium I (kg)","11.850","11.850","11.850","11.850","11.850","11.850"
"4","Beras Kualitas Medium II (kg)","11.650","11.650","11.650","11.650","11.650","11.600"
"5","Beras Kualitas Super I (kg)","13.050","13.100","13.050","13.050","13.050","13.050"
"6","Beras Kualitas Super II (kg)","12.650","12.650","12.650","12.650","12.650","12.650"
"II","Daging Ayam","35.300","35.300","35.250","35.300","35.350","35.400"
"1","Daging Ayam Ras Segar (kg)","35.300","35.300","35.250","35.300","35.350","35.400"
"III","Daging Sapi","118.250","118.250","118.700","118.550","118.500","118.500"
"1","Daging Sapi Kualitas 1 (kg)","121.850","121.850","122.300","122.150","122.100","122.100"
"2","Daging Sapi Kualitas 2 (kg)","113.050","113.050","113.550","113.400","113.350","113.350"
"IV","Telur Ayam","26.050","26.150","26.300","26.300","26.300","26.300"
"1","Telur Ayam Ras Segar (kg)","26.050","26.150","26.300","26.300","26.300","26.300"
"V","Bawang Merah","38.300","38.450","38.300","38.150","38.100","38.000"
"1","Bawang Merah Ukuran Sedang (kg)","38.300","38.450","38.300","38.150","38.100","38.000"
"VI","Bawang Putih","28.750","28.750","28.800","28.850","28.850","28.900"
"1","Bawang Putih Ukuran Sedang (kg)","28.750","28.750","28.800","28.850","28.850","28.900"
"VII","Cabai Merah","41.050","41.150","40.800","40.850","40.750","41.150"
"1","Cabai Merah Besar (kg)","42.350","42.550","42.450","42.200","41.950","42.750"
"2","Cabai Merah Keriting (kg)","39.500","39.900","39.250","39.450","39.450","39.550"
"VIII","Cabai Rawit","36.050","36.150","36.200","36.450","36.750","37.500"
"1","Cabai Rawit Hijau (kg)","33.800","33.750","33.550","33.700","33.700","34.050"
"2","Cabai Rawit Merah (kg)","38.450","38.800","39.550","39.800","40.350","41.250"
"IX","Minyak Goreng","14.350","14.350","14.350","14.350","14.350","14.350"
"1","Minyak Goreng Curah (kg)","13.400","13.400","13.400","13.400","13.400","13.450"
"2","Minyak Goreng Kemasan Bermerk 1 (kg)","15.000","15.000","15.000","15.000","15.000","15.000"
"3","Minyak Goreng Kemasan Bermerk 2 (kg)","14.400","14.400","14.400","14.400","14.400","14.400"
"X","Gula Pasir","14.400","14.400","14.400","14.400","14.400","14.400"
"1","Gula Pasir Kualitas Premium (kg)","15.900","15.850","15.850","15.850","15.800","15.850"
"2","Gula Pasir Lokal (kg)","13.450","13.450","13.450","13.450","13.450","13.450"
